group,config,desc,rounds,steady_hit_rate,cache_created_r1,cache_read_last,avg_input,cost_usd
1-更新频率,A_baseline,不注入记忆（基线）,3,0.0,0,0,28,0.00049
1-更新频率,B_locked,会话开始注入一次并锁死,3,0.9912,2925,2925,20,0.01315
1-更新频率,C_dynamic,每轮动态注入（前缀每轮变）,3,0.0,2930,0,20,0.03339
2-位置,D1_head,记忆放前缀头部(system),3,0.9912,0,2925,20,0.00305
2-位置,D2_tail,记忆放消息流尾部(append),3,0.0,2931,0,3,0.03335
3-粒度,G1_300,单块~300token(低于阈值),3,0.0,0,0,383,0.00369
3-粒度,G2_4x512,4条×512token 多断点,3,0.9894,2427,2427,20,0.01098
3-粒度,G3_2048,单块2048token 大块,3,0.9893,2397,2397,20,0.01085
3-粒度,G4_30frag,30条细粒度(20-block窗口),3,0.9941,4357,4357,20,0.01938
