group,config,desc,rounds,steady_hit_rate,cache_created_r1,cache_read_last,avg_input,cost_usd
1-更新频率,A_baseline,不注入记忆（基线）,8,0.0,0,0,58,0.00201
1-更新频率,B_locked,会话开始注入一次并锁死,8,0.9814,0,2925,50,0.00884
1-更新频率,C_dynamic,每轮动态注入（前缀每轮变）,8,0.0,2930,0,50,0.08972
2-位置,D1_head,记忆放前缀头部(system),8,0.9814,0,2925,50,0.00884
2-位置,D2_tail,记忆放消息流尾部(append),8,0.1411,0,0,3,0.06942
3-粒度,G1_300,单块~300token(低于阈值),8,0.0,0,0,412,0.01053
3-粒度,G2_4x512,4条×512token 多断点,8,0.9777,0,2427,50,0.00764
3-粒度,G3_2048,单块2048token 大块,8,0.9775,2397,2397,50,0.01584
3-粒度,G4_30frag,30条细粒度(20-block窗口),8,0.9875,4357,4357,50,0.02731
